37.88,37.75,0.00,29.10,30.42,29.72,32.69,31.34,34.46,29.19
37.63,37.51,0.00,29.09,30.42,29.68,32.34,30.84,34.37,29.19
37.39,37.28,0.00,29.09,30.44,29.65,32.22,30.66,34.29,29.18
37.18,37.04,29.82,29.08,30.47,29.62,31.94,30.40,34.20,29.17
37.01,36.80,29.81,29.08,30.49,29.59,31.76,30.23,34.12,29.17
36.85,36.56,29.80,29.07,30.53,29.56,31.62,30.10,34.03,29.16
36.68,36.32,29.80,29.06,30.57,29.54,31.56,30.02,33.95,29.16
36.52,36.10,29.79,29.06,30.63,29.51,31.52,29.96,33.87,29.16
36.35,35.96,29.78,29.06,30.69,29.48,31.51,29.92,33.78,29.16
36.19,35.82,29.78,29.06,30.77,29.46,31.52,29.90,33.70,29.16
36.02,35.68,29.77,29.05,30.84,29.43,31.57,29.90,33.61,29.15
35.86,35.54,29.77,29.05,30.91,29.41,31.63,29.90,33.53,29.15
35.69,35.40,29.76,29.05,30.98,29.39,31.73,29.92,33.44,29.15
35.52,35.26,29.75,29.05,31.05,29.37,31.68,29.90,33.36,29.15
35.36,35.12,29.75,29.05,31.10,29.36,31.62,29.85,33.27,29.15
35.19,34.98,29.74,29.04,31.15,29.34,31.57,29.81,33.19,29.15
35.03,34.84,29.73,29.04,31.18,29.33,31.53,29.78,33.10,29.15
34.86,34.70,29.73,29.04,31.21,29.31,31.54,29.77,33.02,29.15
34.70,34.56,29.72,29.04,31.23,29.30,31.54,29.76,32.93,29.16
34.53,34.42,29.71,29.04,31.24,29.29,31.55,29.75,32.85,29.16
34.36,34.28,29.71,29.04,31.25,29.28,31.55,29.74,32.76,29.16
34.23,34.14,29.70,29.04,31.26,29.27,31.55,29.73,32.70,0.00
34.13,34.01,29.70,29.05,31.26,29.26,31.55,29.72,32.65,0.00
34.03,33.87,29.69,29.05,31.27,29.25,31.55,29.72,32.59,0.00
33.93,33.73,29.69,29.05,31.27,29.24,31.55,29.71,32.53,0.00
33.83,33.59,29.69,29.06,31.27,29.24,31.56,29.70,32.47,0.00
33.73,33.45,29.68,29.06,31.27,29.23,31.56,29.69,32.41,0.00
33.62,33.31,29.68,29.06,31.27,29.22,31.55,29.69,32.35,0.00
33.52,33.17,29.67,29.07,31.27,29.22,31.55,29.68,32.30,0.00
33.42,33.03,29.67,29.07,31.27,29.21,31.55,29.68,32.24,0.00
33.32,32.89,29.67,29.07,31.27,29.21,31.55,29.67,32.18,0.00
33.22,32.75,29.66,29.08,31.27,29.20,31.55,29.67,32.12,0.00
33.12,32.68,29.66,29.09,31.27,29.20,31.55,29.66,32.06,0.00
33.02,32.61,29.66,29.10,31.27,29.20,31.55,29.66,32.00,0.00
32.92,32.54,29.65,29.11,31.27,29.19,31.55,29.65,31.95,0.00
