38.74,38.58,0.00,29.15,30.50,29.74,33.35,31.75,34.50,29.22
38.52,38.36,0.00,29.15,30.51,29.71,32.99,31.23,34.42,29.22
38.30,38.14,0.00,29.14,30.53,29.68,32.86,31.03,34.35,29.21
38.10,37.92,29.84,29.14,30.57,29.65,32.54,30.73,34.28,29.21
37.94,37.70,29.84,29.13,30.61,29.62,32.32,30.51,34.20,29.20
37.77,37.49,29.83,29.13,30.66,29.59,32.16,30.35,34.13,29.19
37.60,37.27,29.82,29.12,30.71,29.57,32.07,30.25,34.06,29.19
37.44,37.06,29.82,29.12,30.78,29.54,32.01,30.17,33.98,29.19
37.27,36.91,29.81,29.12,30.86,29.51,31.99,30.12,33.91,29.19
37.10,36.77,29.81,29.12,30.95,29.49,31.99,30.09,33.84,29.19
36.93,36.62,29.80,29.12,31.03,29.47,32.05,30.09,33.77,29.19
36.77,36.47,29.79,29.12,31.11,29.45,32.12,30.09,33.69,29.19
36.60,36.33,29.79,29.12,31.20,29.43,32.23,30.12,33.62,29.19
36.43,36.18,29.78,29.12,31.27,29.41,32.17,30.09,33.55,29.18
36.27,36.03,29.78,29.12,31.33,29.39,32.11,30.04,33.47,29.18
36.10,35.89,29.77,29.12,31.39,29.38,32.06,30.00,33.40,29.18
35.93,35.74,29.76,29.12,31.43,29.36,32.02,29.97,33.33,29.19
35.76,35.59,29.76,29.12,31.47,29.35,32.03,29.96,33.25,29.19
35.60,35.44,29.75,29.12,31.49,29.33,32.03,29.94,33.18,29.19
35.43,35.30,29.75,29.12,31.51,29.32,32.03,29.93,33.11,29.20
35.26,35.15,29.74,29.12,31.52,29.31,32.04,29.93,33.03,29.20
35.12,35.00,29.74,29.13,31.53,29.30,32.04,29.92,32.98,0.00
35.01,34.86,29.73,29.14,31.54,29.29,32.04,29.91,32.92,0.00
34.89,34.71,29.73,29.14,31.54,29.28,32.04,29.90,32.86,0.00
34.78,34.56,29.73,29.15,31.54,29.28,32.04,29.89,32.81,0.00
34.67,34.41,29.72,29.16,31.55,29.27,32.04,29.89,32.75,0.00
